run,final_fitness,evaluations,runtime
1,1000.9949590570933,100001,6.1318371295928955
2,1000.0007098431022,100001,4.853583335876465
3,1001.9899181141866,100001,4.993962287902832
4,1002.9848771712799,100001,6.363533973693848
5,1008.4907221425983,100001,4.989602327346802
6,1002.9848771712799,100001,6.018576383590698
7,1000.9949590570933,100001,6.058446645736694
8,1001.9899181141866,100001,6.061269998550415
9,1000.9949590570933,100001,6.020153760910034
10,1002.9848772414064,100001,4.832714080810547
